Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
77445;Savigny-le-Temple;5526;29;4154;22;4258;22;5151;27;1,47
91589;Savigny-sur-Orge;6936;27;5131;20;4618;18;9427;36;1,64
77446;Savins;102;23;137;31;89;20;117;26;1,49
92071;Sceaux;1728;13;1142;9;1619;12;8677;66;2,31
77447;Seine-Port;271;19;283;20;268;19;617;43;1,87
78590;Senlisse;61;16;45;12;67;17;214;55;2,11
77448;Sept-Sorts;102;30;95;28;58;17;88;26;1,4
78591;Septeuil;396;23;392;23;284;17;623;37;1,68
95592;Seraincourt;254;26;214;22;176;18;321;33;1,57
91593;Sermaise;244;20;301;25;210;17;453;38;1,73
77449;Serris;981;16;943;16;1456;24;2690;44;1,96
77450;Servon;515;23;553;24;492;22;717;31;1,61
95594;Seugy;135;18;202;26;149;19;280;37;1,75
93071;Sevran;13529;41;7008;21;6013;18;6238;19;1,14
77451;Signy-Signets;96;22;162;37;86;20;96;22;1,43
77452;Sigy;9;22;5;12;10;24;17;41;1,83
77453;Sivry-Courtry;184;22;225;27;168;20;261;31;1,6
77454;Sognolles-en-Montois;55;19;87;30;72;25;79;27;1,61
77455;Soignolles-en-Brie;368;26;411;29;249;17;401;28;1,47
78597;Soindres;102;21;143;30;98;20;137;29;1,57
77456;Soisy-Bouy;222;37;186;31;89;15;101;17;1,12
95598;Soisy-sous-Montmorency;3501;28;2446;19;2267;18;4459;35;1,6
91599;Soisy-sur-École;231;24;265;27;153;16;322;33;1,58
91600;Soisy-sur-Seine;912;18;821;16;969;19;2471;48;1,98
77457;Solers;193;21;277;31;187;21;251;28;1,57
78601;Sonchamp;211;18;290;25;191;17;464;40;1,79
77458;Souppes-sur-Loing;1458;38;1118;29;577;15;686;18;1,13
77459;Sourdun;358;36;296;30;152;15;177;18;1,14
91602;Souzy-la-Briche;70;27;65;25;52;20;75;29;1,52
93072;Stains;11451;45;4972;20;4899;19;3908;15;1,03
94071;Sucy-en-Brie;4385;23;3425;18;3557;19;7440;40;1,76
92073;Suresnes;6136;18;3869;11;4938;15;18913;56;2,09
