Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note
78070;Boinville-en-Mantois;32;15;66;31;37;17;81;38;1,79
78071;Boinville-le-Gaillard;76;18;118;28;82;19;146;35;1,71
78072;Boinvilliers;37;17;72;33;32;15;75;35;1,68
92009;Bois-Colombes;4106;21;2422;12;2923;15;10428;52;1,98
78073;Bois-d'Arcy;2105;20;2368;23;1988;19;3993;38;1,75
91075;Bois-Herpin;10;19;19;35;9;17;16;30;1,59
77037;Bois-le-Roi;619;15;599;14;649;16;2318;55;2,11
77036;Boisdon;34;34;29;29;14;14;24;24;1,29
95074;Boisemont;87;16;122;22;98;18;244;44;1,9
78076;Boissets;44;22;61;31;45;23;50;25;1,52
77038;Boissettes;43;15;63;22;55;19;123;43;1,89
77039;Boissise-la-Bertrand;172;19;241;27;161;18;325;36;1,71
77040;Boissise-le-Roi;613;22;696;24;541;19;993;35;1,67
77041;Boissy-aux-Cailles;40;19;55;25;40;19;81;38;1,77
95078;Boissy-l'Aillerie;222;17;303;24;232;18;528;41;1,83
91079;Boissy-la-Rivière;71;17;92;22;94;23;153;37;1,79
77042;Boissy-le-Châtel;702;31;660;29;418;18;486;21;1,28
91080;Boissy-le-Cutté;288;31;263;28;170;18;222;24;1,36
91081;Boissy-le-Sec;104;21;131;27;74;15;178;37;1,68
78082;Boissy-Mauvoisin;113;26;111;25;88;20;129;29;1,52
94004;Boissy-Saint-Léger;3318;31;2324;22;2015;19;3079;29;1,47
78084;Boissy-sans-Avoir;87;20;83;19;73;17;197;45;1,88
91085;Boissy-sous-Saint-Yon;612;22;717;26;566;21;851;31;1,61
77043;Boitron;65;24;99;37;44;16;60;22;1,35
77044;Bombon;121;17;270;37;132;18;198;27;1,54
91086;Bondoufle;1366;21;1634;25;1300;20;2197;34;1,67
93010;Bondy;15153;42;6552;18;6441;18;7527;21;1,17
78087;Bonnelles;242;17;272;20;258;19;620;45;1,93
95088;Bonneuil-en-France;221;31;175;24;149;21;177;25;1,41
94011;Bonneuil-sur-Marne;4801;41;2717;23;1839;16;2436;21;1,18
78089;Bonnières-sur-Seine;1131;35;975;30;529;16;604;19;1,19
78090;Bouafle;423;27;405;26;249;16;494;31;1,51
95091;Bouffémont;1035;25;873;21;769;18;1497;36;1,65
78092;Bougival;920;15;731;12;959;16;3430;57;2,15
77045;Bougligny;171;31;174;32;90;16;111;20;1,24
77046;Boulancourt;71;25;84;30;45;16;79;28;1,46
77047;Bouleurs;249;24;272;27;206;20;299;29;1,54
91093;Boullay-les-Troux;54;12;60;13;63;14;276;61;2,24
92012;Boulogne-Billancourt;12916;15;7076;8;11258;13;54872;64;2,26
95094;Bouqueval;88;39;64;28;33;15;41;18;1,12
91095;Bouray-sur-Juine;438;28;354;22;278;18;516;33;1,57
78096;Bourdonné;78;20;68;18;74;19;165;43;1,85
92014;Bourg-la-Reine;2097;15;1307;9;1819;13;9142;64;2,27
77048;Bourron-Marlotte;463;23;414;21;321;16;815;40;1,73
91097;Boussy-Saint-Antoine;1290;26;1046;21;1039;21;1664;33;1,62
91098;Boutervilliers;58;19;92;31;58;19;90;30;1,59
77049;Boutigny;130;19;202;30;124;19;213;32;1,64
91099;Boutigny-sur-Essonne;582;25;626;27;446;19;671;29;1,52
91100;Bouville;102;21;145;31;89;19;139;29;1,56
95102;Bréançon;46;16;77;27;56;19;109;38;1,79
77052;Bréau;56;24;66;28;45;19;65;28;1,5
91103;Brétigny-sur-Orge;4321;24;3952;22;3250;18;6373;36;1,66
78107;Bréval;312;23;399;29;251;18;397;29;1,52
77050;Bransles;143;36;117;29;61;15;78;20;1,19
95101;Bray-et-Lû;220;33;196;30;132;20;115;17;1,21
77051;Bray-sur-Seine;719;42;438;26;244;14;294;17;1,05
78104;Breuil-Bois-Robert;127;24;129;24;83;16;193;36;1,64
91105;Breuillet;1449;24;1379;23;1079;18;2104;35;1,64
91106;Breux-Jouy;264;28;254;27;136;14;287;30;1,45
91109;Brières-les-Scellés;176;21;259;30;187;22;228;27;1,55
77053;Brie-Comte-Robert;3301;27;3115;25;2503;20;3369;27;1,46
95110;Brignancourt;20;14;29;20;31;21;68;46;2
91111;Briis-sous-Forges;509;20;506;20;406;16;1094;43;1,81
77055;Brou-sur-Chantereine;796;27;781;26;643;22;746;25;1,45
91112;Brouy;27;25;28;26;28;26;26;24;1,5
78113;Brueil-en-Vexin;78;16;123;25;110;22;180;37;1,8
91114;Brunoy;4307;24;3384;19;3200;18;7221;40;1,75
91115;Bruyères-le-Châtel;513;22;545;23;394;17;896;38;1,71
95116;Bruyères-sur-Oise;834;30;842;31;480;17;604;22;1,31
94015;Bry-sur-Marne;2128;18;1715;15;1959;17;5725;50;1,99
78117;Buc;440;11;482;12;577;14;2500;63;2,29
78118;Buchelay;576;27;558;26;369;17;632;30;1,5
95119;Buhy;61;28;58;26;43;20;57;26;1,44
78120;Bullion;196;15;228;17;232;17;674;51;2,04
91121;Buno-Bonnevaux;81;24;104;31;57;17;92;28;1,49
77056;Burcy;39;31;35;28;23;18;29;23;1,33
91122;Bures-sur-Yvette;805;13;754;12;727;11;4049;64;2,26
77057;Bussières;135;40;90;27;54;16;58;17;1,1
77058;Bussy-Saint-Georges;2644;15;2258;13;3494;20;9210;52;2,09
77059;Bussy-Saint-Martin;76;15;113;22;91;18;233;45;1,93
77060;Buthiers;154;27;173;31;76;13;160;28;1,41
95120;Butry-sur-Oise;310;20;374;24;303;19;581;37;1,73
77065;Cély;214;25;199;23;160;19;289;34;1,63
94016;Cachan;4750;24;2735;14;2740;14;9257;48;1,86
77061;Cannes-Écluse;568;31;618;34;297;16;344;19;1,23
77062;Carnetin;81;24;74;22;69;20;118;35;1,67
78123;Carrières-sous-Poissy;3233;30;2134;20;1674;15;3850;35;1,55
78124;Carrières-sur-Seine;1936;19;1451;14;1437;14;5230;52;1,98
95127;Cergy;10126;26;6711;17;7708;20;14720;37;1,68
78128;Cernay-la-Ville;132;12;162;14;191;17;646;57;2,19
77066;Cerneux;69;31;78;35;38;17;39;17;1,2
91129;Cerny;595;24;602;25;511;21;740;30;1,57
77067;Cesson;1578;23;1536;22;1391;20;2448;35;1,67
77068;Cessoy-en-Montois;38;22;59;34;30;17;45;26;1,46
95157;Chérence;27;21;33;26;25;20;42;33;1,65
77099;Château-Landon;777;35;701;31;363;16;389;17;1,14
77098;Châteaubleau;97;37;58;22;52;20;53;20;1,22
78143;Châteaufort;96;10;98;10;122;13;630;67;2,37
95144;Châtenay-en-France;9;18;6;12;5;10;30;60;2,12
92019;Châtenay-Malabry;4812;22;3539;16;3391;15;10512;47;1,87
77101;Châtenay-sur-Seine;211;28;249;33;134;18;155;21;1,32
77102;Châtenoy;39;30;40;31;15;12;35;27;1,36
92020;Châtillon;4708;18;3548;14;3954;15;13537;53;2,03
77103;Châtillon-la-Borde;32;20;41;26;27;17;59;37;1,71
77104;Châtres;72;16;112;25;102;23;163;36;1,79
77069;Chailly-en-Bière;446;29;355;23;254;17;471;31;1,5
77070;Chailly-en-Brie;288;29;303;30;197;20;212;21;1,33
77071;Chaintreaux;185;28;216;32;111;17;155;23;1,35
77072;Chalautre-la-Grande;125;26;167;34;87;18;108;22;1,36
77073;Chalautre-la-Petite;116;27;114;27;74;17;123;29;1,48
77075;Chalifert;163;18;221;25;177;20;323;37;1,76
77076;Chalmaison;160;30;176;33;97;18;108;20;1,29
91130;Chalo-Saint-Mars;160;20;222;27;141;17;290;36;1,69
91131;Chalou-Moulineux;64;21;80;26;73;24;93;30;1,64
91132;Chamarande;188;23;185;22;148;18;307;37;1,69
78133;Chambourcy;609;15;652;17;622;16;2055;52;2,05
77077;Chambry;177;26;213;31;129;19;174;25;1,44
77078;Chamigny;275;27;284;28;182;18;275;27;1,45
95134;Champagne-sur-Oise;764;22;959;28;684;20;1079;31;1,61
77079;Champagne-sur-Seine;1501;34;1309;30;747;17;827;19;1,21
77080;Champcenest;40;26;46;30;33;21;35;23;1,41
91135;Champcueil;578;27;469;22;418;19;680;32;1,56
77081;Champdeuil;123;24;143;28;123;24;117;23;1,45
77082;Champeaux;173;29;173;29;107;18;150;25;1,4
94017;Champigny-sur-Marne;17410;33;10732;20;9323;18;15508;29;1,43
91136;Champlan;605;31;501;26;332;17;511;26;1,38
91137;Champmotteux;52;21;67;27;55;22;77;31;1,64
77083;Champs-sur-Marne;3850;24;3168;20;3037;19;6007;37;1,69
77084;Changis-sur-Marne;190;23;223;27;160;19;262;31;1,58
77085;Chanteloup-en-Brie;486;20;464;19;466;19;1029;42;1,83
78138;Chanteloup-les-Vignes;2580;38;1428;21;1165;17;1597;24;1,27
78140;Chapet;143;16;188;20;168;18;423;46;1,94
94018;Charenton-le-Pont;3994;19;2878;13;3476;16;11112;52;2,01
77094;Charmentray;33;17;55;28;45;23;62;32;1,7
95141;Charmont;7;26;7;26;7;26;6;22;1,44
77095;Charny;198;22;241;27;181;20;263;30;1,57
95142;Chars;447;30;394;26;306;20;356;24;1,38
77096;Chartrettes;287;15;376;20;304;16;929;49;1,99
77097;Chartronges;52;25;63;31;44;22;45;22;1,41
91145;Chatignonville;5;11;16;34;13;28;13;28;1,74
78146;Chatou;3441;16;2617;12;3117;14;12397;57;2,11
77335;Chauconin-Neufmontiers;768;32;706;30;414;17;488;21;1,27
91148;Chauffour-lès-Étréchy;12;12;35;36;22;23;28;29;1,69
77106;Chauffry;156;22;237;33;139;19;190;26;1,49
78147;Chaufour-lès-Bonnières;74;22;100;30;56;17;103;31;1,57
77107;Chaumes-en-Brie;579;25;590;26;451;20;677;29;1,53
95149;Chaumontel;640;27;661;27;463;19;643;27;1,46
95150;Chaussy;85;21;112;27;77;19;138;33;1,64
95151;Chauvry;39;18;52;24;43;19;87;39;1,79
78152;Chavenay;132;11;120;10;195;16;797;64;2,34
92022;Chaville;2642;18;1755;12;1777;12;8262;57;2,07
77108;Chelles;10607;29;8153;22;6913;19;11277;31;1,53
95154;Chennevières-lès-Louvres;55;28;57;29;39;20;48;24;1,41
94019;Chennevières-sur-Marne;3997;31;2429;19;2328;18;3935;31;1,48
77109;Chenoise;437;37;360;31;202;17;180;15;1,1
77110;Chenou;77;32;87;36;37;15;42;17;1,17
91156;Cheptainville;233;17;327;24;255;18;571;41;1,83
77111;Chessy;647;18;617;18;823;24;1414;40;1,86
91159;Chevannes;254;22;297;25;213;18;403;35;1,66
94021;Chevilly-Larue;3998;30;2547;19;2482;18;4416;33;1,54
77112;Chevrainvilliers;26;15;66;37;33;19;53;30;1,65
78160;Chevreuse;702;17;604;15;584;14;2217;54;2,05
77113;Chevru;196;27;282;38;119;16;140;19;1,27
77114;Chevry-Cossigny;721;26;652;24;552;20;813;30;1,54
77115;Chevry-en-Sereine;96;26;98;26;75;20;101;27;1,47
91161;Chilly-Mazarin;3972;28;2796;20;2941;21;4530;32;1,58
78162;Choisel;48;12;69;18;67;17;206;53;2,11
77116;Choisy-en-Brie;299;29;308;30;201;20;208;20;1,3
94022;Choisy-le-Roi;9104;30;5479;18;5649;19;10297;34;1,58
77117;Citry;183;30;180;30;117;19;126;21;1,31
78163;Civry-la-Forêt;38;15;68;27;52;21;91;37;1,8
95166;Cléry-en-Vexin;75;24;70;22;73;23;97;31;1,61
78164;Clairefontaine-en-Yvelines;97;15;100;16;115;18;321;51;2,05
92023;Clamart;8153;22;5969;16;5794;16;17318;47;1,89
77118;Claye-Souilly;2267;25;2232;25;1797;20;2700;30;1,55
92024;Clichy;11276;27;6031;14;6482;15;18474;44;1,76
93014;Clichy-sous-Bois;9632;54;3124;17;2814;16;2393;13;0,88
77119;Clos-Fontaine;57;29;49;25;49;25;44;22;1,41
77120;Cocherel;128;30;147;34;68;16;84;20;1,26
78168;Coignières;910;30;767;25;539;18;847;28;1,45
77121;Collégien;546;23;513;22;464;20;821;35;1,67
92025;Colombes;15319;26;9678;17;9199;16;24091;41;1,72
77122;Combs-la-Ville;3769;25;3330;22;3228;21;4879;32;1,6
95169;Commeny;48;15;85;27;68;21;116;37;1,8
77123;Compans;170;31;160;29;108;20;105;19;1,26
77124;Conches-sur-Gondoire;253;20;227;18;220;17;591;46;1,9
77125;Condé-Sainte-Libiaire;259;25;277;27;198;19;309;30;1,55
78171;Condé-sur-Vesgre;143;17;194;23;154;18;365;43;1,88
95170;Condécourt;84;20;113;27;78;19;136;33;1,64
78172;Conflans-Sainte-Honorine;5934;24;4960;20;4340;18;9559;39;1,73
91613;Congerville-Thionville;44;28;43;27;26;16;47;29;1,46
77126;Congis-sur-Thérouanne;282;25;350;31;197;17;303;27;1,46
91174;Corbeil-Essonnes;11805;34;7374;21;6537;19;8837;26;1,37
91175;Corbreuse;283;23;336;27;240;19;395;31;1,58
95176;Cormeilles-en-Parisis;3705;22;3343;20;2963;18;6618;40;1,76
95177;Cormeilles-en-Vexin;222;24;248;27;156;17;288;32;1,57
77127;Coubert;471;31;341;22;317;21;398;26;1,42
93015;Coubron;823;24;842;25;671;20;1074;31;1,58
77128;Couilly-Pont-aux-Dames;422;27;333;22;345;22;442;29;1,53
77129;Coulombs-en-Valois;118;28;142;33;77;18;87;21;1,32
77130;Coulommes;70;24;79;27;58;20;81;28;1,51
77131;Coulommiers;4187;38;3036;28;1818;17;1926;18;1,16
77132;Coupvray;394;19;483;24;384;19;765;38;1,76
91180;Courances;48;18;64;24;47;17;112;41;1,81
92026;Courbevoie;8686;15;5982;10;8374;14;34789;60;2,18
77133;Courcelles-en-Bassée;36;21;57;33;26;15;56;32;1,59
95181;Courcelles-sur-Viosne;32;16;49;25;32;16;86;43;1,86
77134;Courchamp;27;25;27;25;26;24;30;27;1,54
95183;Courdimanche;756;17;787;18;838;19;2044;46;1,94
91184;Courdimanche-sur-Essonne;48;25;47;24;44;23;55;28;1,54
78185;Courgent;64;21;72;24;50;17;114;38;1,72
77135;Courpalay;235;24;299;30;194;20;256;26;1,48
77136;Courquetaine;19;14;40;29;28;20;53;38;1,83
91186;Courson-Monteloup;63;15;92;22;67;16;203;48;1,98
77137;Courtacon;51;30;49;29;33;19;38;22;1,33
77138;Courtomer;89;23;97;25;78;20;117;31;1,58
77139;Courtry;1057;23;1202;27;905;20;1346;30;1,57
77140;Coutençon;40;19;77;37;43;20;50;24;1,49
77141;Coutevroult;161;22;160;22;149;21;249;35;1,69
77142;Crécy-la-Chapelle;724;22;761;24;658;20;1075;33;1,63
77143;Crégy-lès-Meaux;680;22;844;27;646;21;936;30;1,59
94028;Créteil;17004;28;10306;17;11432;19;21588;36;1,63
77144;Crèvecœur-en-Brie;67;25;66;24;60;22;80;29;1,55
78188;Cravent;58;19;86;28;68;23;90;30;1,64
78189;Crespières;172;15;159;14;175;16;612;55;2,11
77145;Crisenoy;95;21;116;26;88;20;149;33;1,65
77146;Croissy-Beaubourg;300;20;295;20;326;22;557;38;1,78
78190;Croissy-sur-Seine;831;12;569;8;878;13;4589;67;2,35
91191;Crosne;1353;21;1487;24;1286;20;2182;35;1,69
77148;Crouy-sur-Ourcq;467;35;397;29;240;18;245;18;1,19
77150;Cuisy;78;25;105;34;66;21;60;19;1,33
91198;D'Huison-Longueville;291;26;284;25;221;20;318;29;1,52
77151;Dagny;63;28;70;31;41;18;55;24;1,39
77152;Dammarie-les-Lys;4970;33;3290;22;2586;17;4323;28;1,4
77153;Dammartin-en-Goële;1479;22;1587;24;1488;22;2077;31;1,61
78192;Dammartin-en-Serve;143;18;230;29;144;18;278;35;1,7
77154;Dammartin-sur-Tigeaux;158;22;170;23;143;20;261;36;1,71
78193;Dampierre-en-Yvelines;129;17;105;14;122;16;408;53;2,05
77155;Dampmart;594;25;592;25;453;19;758;32;1,59
78194;Dannemarie;35;20;37;22;33;19;67;39;1,77
91195;Dannemois;145;23;159;25;113;18;212;34;1,63
77156;Darvault;170;26;210;33;124;19;138;21;1,34
78196;Davron;34;15;23;10;43;20;120;55;2,15
95197;Deuil-la-Barre;3634;23;2911;19;2767;18;6302;40;1,75
77157;Dhuisy;69;32;55;26;47;22;43;20;1,3
77158;Diant;29;19;53;35;27;18;42;28;1,55
95199;Domont;2835;26;2543;23;2054;19;3470;32;1,57
77159;Donnemarie-Dontilly;672;32;634;30;376;18;445;21;1,29
77161;Dormelles;122;19;144;23;117;19;247;39;1,78
77162;Doue;205;28;195;27;140;19;180;25;1,4
91200;Dourdan;2278;30;1705;22;1256;17;2368;31;1,49
77163;Douy-la-Ramée;46;22;62;29;50;24;54;25;1,52
93029;Drancy;21435;45;9926;21;7915;16;8868;18;1,07
91201;Draveil;5512;27;4413;22;3510;17;6917;34;1,58
78202;Drocourt;86;22;128;33;89;23;85;22;1,45
93030;Dugny;2609;38;1679;24;1337;19;1272;18;1,16
95203;Eaubonne;3926;22;3414;19;3090;17;7255;41;1,76
78206;Ecquevilly;816;27;657;22;586;19;992;33;1,59
95210;Enghien-les-Bains;1499;18;995;12;1468;18;4329;52;2,04
95211;Ennery;445;25;429;24;317;18;595;33;1,59
95219;Ermont;5358;26;4014;19;3474;17;7748;38;1,67
77171;Esbly;1008;23;1057;24;838;19;1541;35;1,67
77172;Esmans;219;32;217;32;118;17;133;19;1,23
77174;Everly;134;31;141;33;84;20;71;17;1,24
77179;Féricy;65;16;85;21;79;19;179;44;1,91
77180;Férolles-Attilly;154;17;176;20;184;21;367;42;1,88
77178;Faÿ-lès-Nemours;102;28;120;33;52;14;91;25;1,36
77176;Faremoutiers;504;27;514;27;394;21;488;26;1,47
77177;Favières;172;21;226;28;135;17;281;35;1,67
78231;Favrieux;27;25;33;30;28;25;22;20;1,4
77181;Ferrières-en-Brie;361;16;446;20;477;21;991;44;1,94
78233;Feucherolles;229;12;214;11;279;14;1260;64;2,31
78234;Flacourt;21;18;37;32;27;23;31;27;1,59
77184;Flagy;108;24;121;27;88;19;137;30;1,55
77185;Fleury-en-Bière;101;21;110;23;103;21;170;35;1,7
91235;Fleury-Mérogis;3551;40;1914;22;1679;19;1742;20;1,2
78236;Flexanville;77;18;80;19;68;16;199;47;1,92
78237;Flins-Neuve-Église;24;22;24;22;23;21;38;35;1,69
78238;Flins-sur-Seine;437;25;526;30;283;16;489;28;1,46
78239;Follainville-Dennemont;347;23;426;29;291;20;415;28;1,53
77187;Fontaine-Fourches;156;36;140;32;76;18;62;14;1,1
91240;Fontaine-la-Rivière;27;16;42;24;46;27;58;34;1,8
77188;Fontaine-le-Port;113;15;170;23;120;16;341;46;1,93
77186;Fontainebleau;1966;18;1567;14;2109;19;5357;49;1,99
77190;Fontains;37;20;63;35;32;18;49;27;1,52
77191;Fontenailles;153;20;241;32;158;21;199;26;1,52
92032;Fontenay-aux-Roses;3271;20;2394;15;2647;16;8177;50;1,97
95241;Fontenay-en-Parisis;391;28;352;25;244;18;405;29;1,48
91243;Fontenay-lès-Briis;283;19;356;24;230;16;595;41;1,79
78242;Fontenay-le-Fleury;2107;22;1603;17;1658;17;4220;44;1,83
91244;Fontenay-le-Vicomte;167;20;209;25;166;20;307;36;1,73
78245;Fontenay-Mauvoisin;45;16;69;25;49;18;111;41;1,84
78246;Fontenay-Saint-Père;168;23;164;23;134;19;249;35;1,66
94033;Fontenay-sous-Bois;9668;26;5931;16;5856;16;15838;42;1,74
77192;Fontenay-Trésigny;1153;29;1133;29;775;20;858;22;1,35
77193;Forfry;22;15;42;29;35;24;47;32;1,73
77194;Forges;79;26;97;32;53;18;70;23;1,37
91249;Forges-les-Bains;538;20;502;19;456;17;1173;44;1,85
95250;Fosses;1818;28;1681;26;1348;21;1653;25;1,43
77195;Fouju;97;23;122;29;73;17;130;31;1,56
95254;Frémécourt;64;16;120;30;89;23;121;31;1,69
95253;Frémainville;73;20;74;21;68;19;144;40;1,79
95256;Frépillon;447;20;567;26;413;19;778;35;1,69
77197;Frétoy;23;21;29;26;30;27;29;26;1,58
95252;Franconville;6526;26;6185;24;4893;19;7985;31;1,55
78255;Freneuse;1153;38;885;29;484;16;527;17;1,12
94034;Fresnes;5049;26;4048;21;3525;18;7114;36;1,65
77196;Fresnes-sur-Marne;122;20;159;26;127;21;210;34;1,7
77198;Fromont;38;24;37;23;29;18;57;35;1,64
95258;Frouville;57;21;48;18;54;20;110;41;1,81
77199;Fublaines;240;27;235;26;184;21;237;26;1,46
95271;Génicourt;93;23;111;28;74;19;119;30;1,56
93032;Gagny;8276;31;5580;21;5052;19;8047;30;1,49
78261;Gaillon-sur-Montcient;116;23;109;22;93;19;176;36;1,68
78262;Galluis;134;17;163;20;146;18;365;45;1,91
78263;Gambais;245;14;398;23;344;20;777;44;1,95
78264;Gambaiseuil;10;21;3;6;14;29;21;44;1,96
78265;Garancières;363;21;416;24;304;18;645;37;1,71
92033;Garches;2062;17;1426;12;1748;14;7119;58;2,14
77200;Garentreville;18;22;24;30;19;23;20;25;1,51
78267;Gargenville;1464;28;1628;31;911;18;1186;23;1,36
95268;Garges-lès-Gonesse;12832;48;5160;19;4328;16;4652;17;1,02
77201;Gastins;123;25;135;28;112;23;120;24;1,46
78269;Gazeran;234;24;194;20;136;14;397;41;1,71
95270;Genainville;107;26;101;25;76;19;122;30;1,53
92036;Gennevilliers;12782;40;6115;19;5364;17;7327;23;1,22
94037;Gentilly;3537;28;2133;17;2146;17;4696;38;1,65
77203;Germigny-l'Évêque;204;21;267;27;187;19;321;33;1,64
77204;Germigny-sous-Coulombs;39;27;54;38;26;18;25;17;1,25
77205;Gesvres-le-Chapitre;22;21;27;26;20;19;36;34;1,66
91272;Gif-sur-Yvette;1774;13;1380;10;1867;14;8802;64;2,3
77206;Giremoutiers;25;23;21;19;21;19;44;40;1,77
77207;Gironville;29;25;39;33;27;23;22;19;1,36
91273;Gironville-sur-Essonne;123;23;157;30;97;18;149;28;1,5
91274;Gometz-la-Ville;152;15;180;18;148;15;538;53;2,07
91275;Gometz-le-Châtel;318;18;285;16;259;15;913;51;1,99
78276;Gommecourt;123;26;127;26;108;23;122;25;1,47
95277;Gonesse;6758;39;3695;21;3283;19;3731;21;1,22
77208;Gouaix;366;36;310;30;188;18;157;15;1,11
78278;Goupillières;64;17;76;21;57;16;170;46;1,91
93033;Gournay-sur-Marne;824;17;961;20;932;19;2161;44;1,9
95280;Goussainville;9116;45;4479;22;3238;16;3212;16;1,02
78281;Goussonville;65;15;111;25;81;18;186;42;1,87
77209;Gouvernes;151;18;202;24;141;17;360;42;1,84
95282;Gouzangrez;16;13;28;23;27;22;51;42;1,93
78283;Grandchamp;35;16;47;21;54;24;86;39;1,86
77211;Grandpuits-Bailly-Carrois;245;33;249;33;136;18;117;16;1,17
77212;Gravon;40;32;40;32;21;17;25;20;1,26
78285;Gressey;94;24;92;23;77;19;136;34;1,63
77214;Gressy;80;13;135;21;137;22;282;44;1,97
77215;Gretz-Armainvilliers;2147;35;1454;24;1117;18;1424;23;1,29
77216;Grez-sur-Loing;302;30;269;26;189;19;259;25;1,39
91286;Grigny;7602;44;3487;20;2977;17;3041;18;1,08
95287;Grisy-les-Plâtres;104;20;136;27;102;20;169;33;1,66
77217;Grisy-Suisnes;435;25;435;25;300;17;579;33;1,58
77218;Grisy-sur-Seine;19;23;24;29;21;26;18;22;1,47
95288;Groslay;1568;27;1259;21;986;17;2043;35;1,6
78289;Grosrouvre;104;16;99;15;110;17;333;52;2,05
77219;Guérard;440;25;421;24;367;21;529;30;1,56
77220;Guercheville;46;23;68;34;39;19;49;24;1,44
77221;Guermantes;92;11;146;18;159;19;430;52;2,12
78290;Guernes;193;25;224;29;169;22;198;25;1,48
78291;Guerville;355;23;456;29;268;17;468;30;1,53
91292;Guibeville;71;15;131;28;83;17;191;40;1,82
77222;Guignes;684;26;761;29;563;21;640;24;1,43
91293;Guigneville-sur-Essonne;168;25;154;23;137;21;204;31;1,58
91294;Guillerval;117;20;180;31;120;21;168;29;1,6
95295;Guiry-en-Vexin;17;12;49;36;26;19;46;33;1,73
78296;Guitrancourt;108;24;113;25;94;21;132;30;1,57
77223;Gurcy-le-Châtel;91;23;129;32;100;25;79;20;1,42
78297;Guyancourt;3648;20;3252;17;3238;17;8556;46;1,89
95304;Hédouville;30;14;38;18;47;22;96;45;1,97
77226;Héricy;413;21;393;20;337;18;781;41;1,79
95308;Hérouville;81;19;122;28;96;22;138;32;1,68
95298;Haravilliers;70;18;92;24;93;24;127;33;1,71
78299;Hardricourt;406;26;363;23;302;19;497;32;1,57
78300;Hargeville;38;13;70;24;67;23;118;40;1,9
95301;Haute-Isle;42;20;57;27;44;21;66;32;1,65
77224;Hautefeuille;110;54;29;14;21;10;43;21;0,97
78305;Herbeville;20;11;38;21;35;19;90;49;2,06
95306;Herblay;4852;25;4224;21;3389;17;7318;37;1,66
77227;Hermé;131;28;130;28;88;19;112;24;1,38
78307;Hermeray;147;22;130;19;136;20;256;38;1,73
95309;Hodent;51;32;41;26;28;18;37;24;1,34
77228;Hondevilliers;34;18;79;41;35;18;43;23;1,46
78310;Houdan;857;31;561;20;496;18;838;30;1,46
78311;Houilles;4777;21;4053;18;3476;15;10142;45;1,83
77230;Ichy;39;30;38;29;23;18;31;24;1,37
91312;Igny;1357;20;1123;16;1032;15;3357;49;1,93
77232;Isles-lès-Villenoy;123;21;139;23;138;23;199;33;1,68
77231;Isles-les-Meldeuses;125;23;191;35;100;18;125;23;1,4
78314;Issou;757;27;807;29;552;20;676;24;1,41
92040;Issy-les-Moulineaux;7718;16;4973;10;6395;13;29875;61;2,19
91315;Itteville;977;21;1297;28;921;20;1504;32;1,64
77233;Iverny;92;23;137;35;85;22;81;21;1,42
94041;Ivry-sur-Seine;13684;33;6494;15;6418;15;15373;37;1,56
77234;Jablines;62;13;124;27;87;19;190;41;1,88
95316;Jagny-sous-Bois;42;23;49;26;35;19;60;32;1,6
77235;Jaignes;53;23;73;32;45;20;57;25;1,47
78317;Jambville;98;18;144;26;103;18;213;38;1,76
91318;Janville-sur-Juine;227;16;340;24;282;20;563;40;1,84
91319;Janvry;89;20;87;20;99;22;171;38;1,78
77236;Jaulnes;101;35;97;34;43;15;44;15;1,09
78320;Jeufosse;137;28;173;36;66;14;105;22;1,3
94042;Joinville-le-Pont;2840;21;2060;15;2399;18;6366;47;1,92
77237;Jossigny;142;31;107;24;67;15;139;31;1,47
77238;Jouarre;877;29;917;30;561;19;657;22;1,34
78321;Jouars-Pontchartrain;731;18;635;16;720;18;1907;48;1,96
78322;Jouy-en-Josas;577;12;524;11;703;15;2894;62;2,27
77239;Jouy-le-Châtel;287;26;323;30;246;23;236;22;1,42
95323;Jouy-le-Moutier;2635;25;2601;24;1978;19;3431;32;1,58
78324;Jouy-Mauvoisin;100;24;142;34;70;17;107;26;1,46
77240;Jouy-sur-Morin;592;39;461;30;218;14;243;16;1,06
77241;Juilly;390;29;402;30;246;18;305;23;1,35
78325;Jumeauville;87;20;102;24;74;17;169;39;1,75
77242;Jutigny;142;35;133;33;54;13;73;18;1,13
91326;Juvisy-sur-Orge;2824;24;1920;16;2103;18;4991;42;1,78
78327;Juziers;625;23;837;30;500;18;792;29;1,53
78224;L' Étang-la-Ville;338;10;273;8;399;12;2216;69;2,39
93039;L' Île-Saint-Denis;1928;37;980;19;850;16;1394;27;1,32
94038;L' Haÿ-les-Roses;5820;27;3915;18;3548;16;8480;39;1,67
95313;L' Isle-Adam;1895;21;1868;20;1637;18;3765;41;1,79
77246;Léchelle;136;34;115;29;60;15;92;23;1,28
77249;Lésigny;849;17;910;18;1158;23;2222;43;1,93
78334;Lévis-Saint-Nom;204;17;229;19;169;14;593;50;1,97
78077;La Boissière-École;120;23;102;19;105;20;204;38;1,73
77054;La Brosse-Montceaux;177;31;174;31;83;15;131;23;1,3
78125;La Celle-les-Bordes;65;10;100;16;105;17;350;56;2,18
78126;La Celle-Saint-Cloud;2659;19;1974;14;2289;16;7447;52;2,02
