Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note;salaire
92073;Suresnes;6136;18;3869;11;4938;15;18913;56;2,09;23,6
95580;Saint-Witz;232;14;224;14;356;22;811;50;2,08;24
75102;Paris 2e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;24,1
77432;Saint-Rémy-la-Vanne;215;31;216;31;123;18;137;20;1,27;24,1
78160;Chevreuse;702;17;604;15;584;14;2217;54;2,05;24,1
78420;Montfort-l'Amaury;737;33;297;13;383;17;834;37;1,58;24,2
78688;Voisins-le-Bretonneux;820;11;940;12;1072;14;4874;63;2,29;24,4
75104;Paris 4e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;24,5
92044;Levallois-Perret;8042;18;4578;10;5912;13;27012;59;2,13;24,5
78092;Bougival;920;15;731;12;959;16;3430;57;2,15;24,6
78146;Chatou;3441;16;2617;12;3117;14;12397;57;2,11;24,6
78686;Viroflay;1518;14;1122;10;1344;12;7243;65;2,29;24,6
91064;Bièvres;442;14;510;16;471;15;1818;56;2,14;24,6
92012;Boulogne-Billancourt;12916;15;7076;8;11258;13;54872;64;2,26;24,9
78646;Versailles;8099;14;5689;10;8195;14;36502;62;2,24;25
78126;La Celle-Saint-Cloud;2659;19;1974;14;2289;16;7447;52;2,02;25,2
92063;Rueil-Malmaison;9229;17;7637;14;7710;14;29497;55;2,07;25,2
75101;Paris 1er Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;25,3
75103;Paris 3e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;25,4
78158;Le Chesnay;3363;15;2635;11;3517;15;13414;59;2,18;25,4
75109;Paris 9e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;25,6
91272;Gif-sur-Yvette;1774;13;1380;10;1867;14;8802;64;2,3;25,6
75117;Paris 17e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;25,8
91635;Vauhallan;264;18;222;15;210;14;804;54;2,05;26,1
92072;Sèvres;2955;18;1775;11;2226;14;9469;58;2,13;26,1
75105;Paris 5e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;26,2
91645;Verrières-le-Buisson;1753;16;1337;12;1443;13;6360;58;2,12;26,4
78358;Maisons-Laffitte;2612;16;1824;11;2289;14;9902;60;2,19;26,6
78043;Bailly;285;11;247;9;419;16;1742;65;2,36;26,7
92071;Sceaux;1728;13;1142;9;1619;12;8677;66;2,31;26,8
78396;Le Mesnil-le-Roi;757;17;758;17;606;14;2250;51;1,98;27,2
78322;Jouy-en-Josas;577;12;524;11;703;15;2894;62;2,27;27,7
78431;Morainvilliers;284;15;275;15;260;14;1076;57;2,14;28,6
78551;Saint-Germain-en-Laye;4421;15;3296;11;4756;16;17965;59;2,2;29
92033;Garches;2062;17;1426;12;1748;14;7119;58;2,14;29,5
92077;Ville-d'Avray;1007;13;636;8;1046;14;4978;65;2,31;29,6
78466;Orgeval;650;16;599;15;590;14;2244;55;2,08;30
78455;Noisy-le-Roi;751;14;493;9;783;15;3260;62;2,25;30,2
78350;Louveciennes;683;14;427;9;746;15;3165;63;2,28;30,3
92064;Saint-Cloud;2926;14;1711;8;2708;13;13456;65;2,29;30,8
78672;Villennes-sur-Seine;385;11;415;11;530;15;2295;63;2,3;31,2
75108;Paris 8e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;32,5
75106;Paris 6e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;33
78133;Chambourcy;609;15;652;17;622;16;2055;52;2,05;33,2
78190;Croissy-sur-Seine;831;12;569;8;878;13;4589;67;2,35;33,6
92076;Vaucresson;757;13;480;8;779;13;3960;66;2,32;33,7
75116;Paris 16e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;36,3
78650;Le Vésinet;1148;10;821;7;1357;12;7854;70;2,41;37,8
92051;Neuilly-sur-Seine;5940;14;2290;5;5975;14;29199;67;2,34;37,8
75107;Paris 7e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;39
78233;Feucherolles;229;12;214;11;279;14;1260;64;2,31;39,4
78571;Saint-Nom-la-Bretèche;356;11;250;7;555;16;2220;66;2,37;41,7
