Code;Nom de la commune;Pas ou peu dipl�m�s ;p sans;CAP ou BEP;p bep;BAC;p bac;Universit�;p uni;note;salaire
75119;Paris 19e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;16,1
77014;Avon;2626;26;1949;19;1719;17;3971;39;1,7;16,1
77219;Guérard;440;25;421;24;367;21;529;30;1,56;16,1
77322;Moussy-le-Neuf;483;23;551;26;499;24;571;27;1,55;16,1
77377;Presles-en-Brie;395;25;432;28;303;19;436;28;1,5;16,1
77430;Saint-Pathus;988;25;1131;28;843;21;1049;26;1,48;16,1
77155;Dampmart;594;25;592;25;453;19;758;32;1,59;16,2
77171;Esbly;1008;23;1057;24;838;19;1541;35;1,67;16,2
78586;Sartrouville;11110;30;7601;20;5784;16;12610;34;1,54;16,2
93015;Coubron;823;24;842;25;671;20;1074;31;1,58;16,2
94043;Le Kremlin-Bicêtre;4253;25;2419;14;2873;17;7745;45;1,83;16,2
95607;Taverny;4292;24;4257;23;3593;20;6107;33;1,62;16,2
77118;Claye-Souilly;2267;25;2232;25;1797;20;2700;30;1,55;16,3
77153;Dammartin-en-Goële;1479;22;1587;24;1488;22;2077;31;1,61;16,3
77181;Ferrières-en-Brie;361;16;446;20;477;21;991;44;1,94;16,3
77243;Lagny-sur-Marne;4153;28;2930;19;2803;19;5181;34;1,59;16,3
91191;Crosne;1353;21;1487;24;1286;20;2182;35;1,69;16,3
91432;Morangis;2649;28;2267;24;1594;17;2920;31;1,51;16,3
95091;Bouffémont;1035;25;873;21;769;18;1497;36;1,65;16,3
95370;Marines;599;24;613;25;504;20;755;31;1,58;16,3
95637;Vauréal;2053;19;2149;20;2221;21;4261;40;1,82;16,3
77111;Chessy;647;18;617;18;823;24;1414;40;1,86;16,4
77121;Collégien;546;23;513;22;464;20;821;35;1,67;16,4
77315;Montry;554;22;648;26;505;20;812;32;1,62;16,4
78165;Les Clayes-sous-Bois;3328;27;2809;23;2109;17;4186;34;1,59;16,4
91085;Boissy-sous-Saint-Yon;612;22;717;26;566;21;851;31;1,61;16,4
91179;Le Coudray-Montceaux;712;21;729;22;713;21;1166;35;1,69;16,4
91377;Massy;7704;23;5186;15;5155;15;16080;47;1,86;16,4
91573;Saint-Pierre-du-Perray;1377;19;1486;21;1438;20;2863;40;1,81;16,4
92050;Nanterre;20069;32;11287;18;9714;15;22189;35;1,53;16,4
95056;Belloy-en-France;361;24;393;26;265;18;481;32;1,58;16,4
95060;Bessancourt;1201;24;1209;24;942;19;1673;33;1,61;16,4
95476;Osny;3366;28;2885;24;2128;18;3707;31;1,53;16,4
77335;Chauconin-Neufmontiers;768;32;706;30;414;17;488;21;1,27;16,5
91129;Cerny;595;24;602;25;511;21;740;30;1,57;16,5
91540;Saint-Chéron;823;23;911;25;671;19;1184;33;1,62;16,5
91589;Savigny-sur-Orge;6936;27;5131;20;4618;18;9427;36;1,64;16,5
94003;Arcueil;3917;26;2456;17;2378;16;6047;41;1,72;16,5
95582;Sannois;5066;27;4059;22;3332;18;6068;33;1,57;16,5
95652;Viarmes;1039;27;961;25;656;17;1166;31;1,52;16,5
77085;Chanteloup-en-Brie;486;20;464;19;466;19;1029;42;1,83;16,6
78291;Guerville;355;23;456;29;268;17;468;30;1,53;16,6
78490;Plaisir;5237;24;4671;21;3734;17;8207;38;1,69;16,6
91105;Breuillet;1449;24;1379;23;1079;18;2104;35;1,64;16,6
91649;Vert-le-Petit;380;20;534;28;355;19;646;34;1,68;16,6
93049;Neuilly-Plaisance;3664;25;2736;19;2539;17;5780;39;1,7;16,6
94059;Le Plessis-Trévise;3352;24;2973;21;2802;20;5131;36;1,69;16,6
95134;Champagne-sur-Oise;764;22;959;28;684;20;1079;31;1,61;16,6
95197;Deuil-la-Barre;3634;23;2911;19;2767;18;6302;40;1,75;16,6
95219;Ermont;5358;26;4014;19;3474;17;7748;38;1,67;16,6
95555;Saint-Gratien;4163;28;2933;20;2563;17;5102;35;1,59;16,6
75120;Paris 20e  Arrondissement;285303;18;132970;8;208607;13;960227;61;2,17;16,7
77139;Courtry;1057;23;1202;27;905;20;1346;30;1,57;16,7
77438;Saint-Thibault-des-Vignes;1166;26;925;20;846;19;1580;35;1,63;16,7
77487;Vaux-le-Pénil;1903;24;1861;24;1427;18;2624;34;1,62;16,7
78498;Poissy;7119;27;4875;18;4558;17;9901;37;1,63;16,7
91339;Linas;1361;28;1132;23;907;19;1422;29;1,48;16,7
91433;Morigny-Champigny;820;26;866;27;558;17;951;30;1,51;16,7
77374;Pontcarré;317;20;447;29;345;22;442;28;1,57;16,8
77479;Vaires-sur-Marne;2555;27;2104;22;1763;18;3113;33;1,57;16,8
77517;Villevaudé;536;35;295;19;256;17;430;28;1,37;16,8
93045;Les Lilas;4189;25;2492;15;2623;16;7128;43;1,76;16,8
77067;Cesson;1578;23;1536;22;1391;20;2448;35;1,67;16,9
77114;Chevry-Cossigny;721;26;652;24;552;20;813;30;1,54;16,9
77316;Moret Loing et Orvanne;2358;26;2148;23;1599;17;3110;34;1,59;16,9
78327;Juziers;625;23;837;30;500;18;792;29;1,53;16,9
77350;Ozoir-la-Ferrière;3862;27;3185;22;2634;18;4596;32;1,54;17
78383;Maurepas;2751;20;2843;21;2522;19;5337;40;1,79;17
91099;Boutigny-sur-Essonne;582;25;626;27;446;19;671;29;1,52;17
91135;Champcueil;578;27;469;22;418;19;680;32;1,56;17
91421;Montgeron;4667;28;3167;19;2840;17;6231;37;1,64;17
91461;Ollainville;834;25;775;23;616;19;1097;33;1,6;17
77413;Saint-Germain-sur-Morin;560;22;635;25;526;21;805;32;1,63;17,1
91086;Bondoufle;1366;21;1634;25;1300;20;2197;34;1,67;17,1
91201;Draveil;5512;27;4413;22;3510;17;6917;34;1,58;17,1
91425;Montlhéry;1153;21;1251;23;1052;19;1993;37;1,72;17,1
91617;Tigery;437;18;473;19;485;20;1072;43;1,88;17,1
77069;Chailly-en-Bière;446;29;355;23;254;17;471;31;1,5;17,2
77372;Pomponne;758;26;607;21;592;21;928;32;1,59;17,2
78206;Ecquevilly;816;27;657;22;586;19;992;33;1,59;17,2
91405;Milly-la-Forêt;980;27;847;24;618;17;1152;32;1,54;17,2
91577;Saintry-sur-Seine;960;24;1042;26;731;18;1322;33;1,61;17,2
94046;Maisons-Alfort;9081;23;6324;16;7045;18;17418;44;1,84;17,2
95211;Ennery;445;25;429;24;317;18;595;33;1,59;17,2
77255;Livry-sur-Seine;365;24;471;30;240;15;475;31;1,53;17,3
78242;Fontenay-le-Fleury;2107;22;1603;17;1658;17;4220;44;1,83;17,3
91333;Leuville-sur-Orge;711;23;689;23;564;19;1078;35;1,66;17,3
95183;Courdimanche;756;17;787;18;838;19;2044;46;1,94;17,3
95288;Groslay;1568;27;1259;21;986;17;2043;35;1,6;17,3
77058;Bussy-Saint-Georges;2644;15;2258;13;3494;20;9210;52;2,09;17,4
77389;La Rochette;488;21;405;17;395;17;1048;45;1,86;17,4
78073;Bois-d'Arcy;2105;20;2368;23;1988;19;3993;38;1,75;17,4
78172;Conflans-Sainte-Honorine;5934;24;4960;20;4340;18;9559;39;1,73;17,4
78545;Saint-Cyr-l'École;2653;22;2097;17;1918;16;5594;46;1,87;17,4
91115;Bruyères-le-Châtel;513;22;545;23;394;17;896;38;1,71;17,4
